case,simulation,ASAP,BAM,SS3,WHAM_fixed_effects,WHAM_random_effects,WHAM_random_effects_sigmaR_constant,FIMS_fixed_effects,FIMS_random_effects,FIMS_random_effects_sigmaR_constant
C0,123,0.59,0.6,0.75,0.6,0.69,0.76,0.22,0.72,0.37
C0,124,-1.32,-1.36,-1.17,-1.37,-1.2,-1.19,-1.26,-1.19,-1.09
C0,125,-0.47,-0.47,-0.47,-0.47,-0.28,-0.32,-0,-0.1,0.15
C0,126,-0.02,-0.03,0.22,-0.04,0.13,0.13,-0.24,-0.07,-0.08
C0,130,-1.53,-1.54,-1.36,-1.54,-1.3,-1.38,-0.92,-1.42,-0.77
C0,132,-0.7,-0.7,-0.65,-0.68,-0.78,-0.53,-1.39,-0.82,-1.24
C0,135,-3.27,-3.3,-3.12,-3.29,-3.11,-3.13,-3.45,-3.15,-3.29
C0,137,-4.9,-4.92,-4.86,-4.92,-4.76,-4.76,-4.64,-4.67,-4.48
C0,138,-2.66,-2.68,-2.74,-2.67,-2.72,-2.53,-2.53,-2.7,-2.39
C0,142,-3.54,-3.55,-3.68,-3.53,-3.33,-3.4,-3.84,-3.36,-3.71
C0,143,1.6,1.6,1.76,1.57,1.91,1.73,1.05,1.91,1.2
C0,144,2.1,2.1,2.45,2.1,2.2,2.28,1.73,2.12,1.9
C0,147,1.35,1.32,1.51,1.34,1.44,1.51,1.59,1.42,1.75
C0,149,2.47,2.53,2.71,2.53,2.61,2.69,2.63,2.66,2.79
C0,150,2.61,2.62,2.6,2.63,2.71,2.79,2.37,2.66,2.53
C0,153,3.89,3.88,3.74,3.89,3.95,4.06,3.79,4.16,3.96
C0,161,-1.73,-1.73,-1.48,-1.75,-1.57,-1.58,-1.5,-1.67,-1.34
C0,165,-3.79,-3.77,-3.73,-3.76,-3.63,-3.62,-3.85,-3.67,-3.71
C0,169,-1.85,-1.84,-1.79,-1.85,-1.66,-1.69,-1.59,-1.72,-1.44
C0,171,1.71,1.72,1.68,1.73,1.84,1.88,1.83,1.93,1.98
C0,172,-2.03,-2.05,-1.98,-2.04,-1.88,-1.89,-2.33,-1.87,-2.18
C0,173,0.66,0.65,0.67,0.65,0.85,0.81,0.6,0.96,0.76
C0,174,-2.09,-2.08,-1.78,-2.09,-1.94,-1.94,-1.65,-1.97,-1.49
C0,175,0.54,0.56,0.53,0.55,0.69,0.7,0.36,0.62,0.5
C0,176,1,1.01,0.9,1.04,1.22,1.2,0.99,1.23,1.14
C0,181,2.75,2.77,2.72,2.77,2.98,2.93,2.36,3.03,2.51
C0,183,-2.3,-2.3,-2.1,-2.31,-2.19,-2.14,-2.22,-2.23,-2.06
C0,184,1.68,1.71,1.7,1.74,1.88,1.89,1.54,1.85,1.69
C0,192,-2.98,-2.98,-2.95,-2.97,-2.79,-2.82,-2.56,-2.68,-2.4
C0,193,0.26,0.26,0.12,0.27,0.39,0.43,0.33,0.3,0.49
C0,194,-3.43,-3.45,-3.27,-3.45,-3.28,-3.29,-3.37,-3.27,-3.21
C0,195,0.79,0.85,1.06,0.83,0.98,0.99,0.37,0.86,0.53
C0,196,0.08,0.06,0.39,0.07,0.16,0.23,0.5,0.13,0.67
C0,197,-2.98,-2.97,-2.67,-2.98,-2.84,-2.82,-3.65,-3,-3.5
C0,198,2.47,2.46,2.44,2.46,2.57,2.64,2.9,2.6,3.07
C0,199,-2.87,-2.87,-2.43,-2.88,-2.74,-2.72,-3.21,-2.94,-3.06
C0,200,-2.51,-2.53,-2.55,-2.5,-2.36,-2.35,-2.37,-2.19,-2.23
C0,202,0.19,0.19,0.29,0.19,0.36,0.35,0.15,0.41,0.31
C0,203,3.93,3.94,4.16,3.94,4.11,4.1,3.94,4.06,4.09
C0,209,-4.58,-4.59,-4.43,-4.59,-4.43,-4.44,-4.79,-4.46,-4.65
C0,210,3.68,3.69,3.77,3.67,3.82,3.85,3.06,3.79,3.23
